Kood;tulp1;tulp2;tulp3;tulp4
1;87.7109825;2001;16.666666667;2727,17548
2;216.0778791;1982;70;1459,41204
3;16.3207011;1973;6;661,15453
4;122.365609;1966;35.714285714;3611,57184
5;187.7582068;1975;26.666666667;3856,68655
6;41.4541126;1939;20;3918,64646
7;285.1251483;1962;50;4230,01247
8;204.8126494;1981;36.666666667;8814,62531
9;97.7105169;1910;20;845,56617
10;40.704993;1996;30;6434,09176
11;96.8145119;1975;26;1599,1557
12;184.1240145;2006;50;4839,32852
13;241.7183321;1960;27;2408,72237
14;115.3655441;1971;12;1522,02725
15;265.3788578;1972;31;2618,02823
16;24.2819318;1900;16.666666667;1188,45894
17;139.3005532;1970;35;1202,14721
18;31.0130766;1970;26;2862,64742
19;71.5593334;1986;38;3037,60646
20;114.6594409;1958;40;1997,21171
21;115.9785026;1980;18.666666667;2382,20633
22;102.9648843;1986;45;1342,13477
23;247.914892;1978;33.5;10785,60792
24;217.1620134;1963;20;1765,61063
25;122.0245815;1936;18.25;2716,66782
26;63.8423845;1923;30;1326,10824
27;378.1134478;1975;34;3654,71453
28;90.5267723;1965;28.5;6011,89476
29;117.8359774;1969;13.5;6285,48625
30;150.3670326;2007;19;965,76454
31;70.3759754;1985;28.5;4751,02077
32;476.7409033;1964;43;3489,66123
33;361.1279626;1985;12.5;1538,74459
34;302.8253791;1960;9.75;1512,78285
35;160.7893252;1956;8;1372,03823
36;65.6193925;1956;20;3794,12402
37;213.0821995;1955;14.75;1479,81038
38;237.9319872;1984;27;3411,1889
39;279.283358;1984;26;3061,03164
40;63.491786;1970;8;624,64543
41;66.6538004;1985;27;4758,13219
42;295.3518993;1948;15;2302,71003
43;294.2746065;1982;8;1283,63838
44;20.1918987;1963;11.5;1532,7507
45;115.1603322;1980;50;739,6582
46;100.9004096;2004;57.5;4855,35004
47;29.9738892;1988;33.333333333;3124,44796
48;93.1064334;1945;21;1457,29414
49;164.0446077;1979;16.333333333;2203,2959
50;344.7338914;1980;22;3826,67359
51;94.2210156;1964;23.5;1294,21191
52;32.1870964;1960;20;1463,58285
53;325.7772142;1970;42;3757,45285
54;25.84367;1984;12;3127,48124
55;153.1653366;1972;27.5;5813,4025
56;274.1128252;2009;25.666666667;2302,04117
57;347.4029379;1890;23.333333333;9074,09254
58;106.3109681;1898;24;1614,51573
59;101.9497106;1950;13.8;1995,94924
60;86.1555873;2009;25;4737,24612
61;120.274834;1978;24;2151,80465
62;78.1489349;1980;25;4407,3933
63;175.0833613;1980;32;3988,01106
64;277.2778215;1973;10.75;3155,07835
65;81.9795954;1971;55.5;4671,35768
66;212.5260541;1996;85;2563,55884
67;30.6466258;1960;35;3807,82686
68;201.2499542;1958;17.333333333;1309,93039
69;61.6045229;1890;60;3007,32771
70;130.2777167;1978;13.2;1091,3812
71;50.6280045;1977;13;1569,89524
72;270.676618;1973;10.75;3144,96596
73;43.8470259;1960;10.833333333;1507,27467
74;88.6906114;1964;12.75;1829,16002
75;64.222871;1978;110;1702,26081
76;65.6357394;1980;21;1408,62592
77;78.6197921;1930;30;2688,9147
78;77.0923429;2008;33.333333333;2255,63755
79;325.5772844;1964;15.666666667;6696,8825
80;183.7289355;1980;16.25;2821,8016
81;330.2389094;1978;14.75;2535,90939
82;134.977793;1967;25.5;1400,72322
83;64.7848035;2006;70;2086,08413
84;35.1692022;1960;15.5;2389,83808
85;40.4885091;1980;5.4444444444;212,44659
86;17.9365867;1903;65;1281,36062
87;49.7457446;1958;31;1650,41239
88;35.8710189;1997;53.333333333;3782,93921
89;198.2481712;1980;12.166666667;251,21962
90;371.2375215;1936;30;4251,75794
91;96.0581642;1970;22.5;2999,18515
92;97.0848159;1990;24;650,13987
93;20.4413639;1950;12.8;1887,09896
94;14.9239649;2007;5;917,8286
95;296.789582;1971;43;4355,2023
96;113.5889784;1980;18.666666667;2426,54523
97;306.7361063;1984;44;4711,96737
98;242.5673371;1887;14;1099,33622
99;75.3924641;1981;27;8868,1107
